b'id',b'key',b'value',b'type' 
b'957745913',b'street_no',b'0062',b'osak'
b'957745913',b'source',b'AWS Web API',b'osak'
b'957746688',b'city',b'Padborg',b'addr'
b'957746688',b'country',b'DK',b'addr'
b'957746688',b'housenumber',b'16',b'addr'
b'957746688',b'postcode',b'6330',b'addr'
b'957746688',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957746688',b'identifier',b'0A3F508B2D6032B8E0440003BA298018',b'osak'
b'957746688',b'municipality_no',b'580',b'osak'
b'957746688',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957746688',b'street_no',b'0436',b'osak'
b'957746688',b'source',b'AWS Web API',b'osak'
b'957746774',b'city',b'Padborg',b'addr'
b'957746774',b'country',b'DK',b'addr'
b'957746774',b'housenumber',b'27',b'addr'
b'957746774',b'postcode',b'6330',b'addr'
b'957746774',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957746774',b'identifier',b'0A3F508B2D6A32B8E0440003BA298018',b'osak'
b'957746774',b'municipality_no',b'580',b'osak'
b'957746774',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957746774',b'street_no',b'0436',b'osak'
b'957746774',b'source',b'AWS Web API',b'osak'
b'957746851',b'city',b'Padborg',b'addr'
b'957746851',b'country',b'DK',b'addr'
b'957746851',b'housenumber',b'35',b'addr'
b'957746851',b'postcode',b'6330',b'addr'
b'957746851',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957746851',b'identifier',b'0A3F508B2D7432B8E0440003BA298018',b'osak'
b'957746851',b'municipality_no',b'580',b'osak'
b'957746851',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957746851',b'street_no',b'0436',b'osak'
b'957746851',b'source',b'AWS Web API',b'osak'
b'957746944',b'city',b'Padborg',b'addr'
b'957746944',b'country',b'DK',b'addr'
b'957746944',b'housenumber',b'44',b'addr'
b'957746944',b'postcode',b'6330',b'addr'
b'957746944',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957746944',b'identifier',b'0A3F508B2D7E32B8E0440003BA298018',b'osak'
b'957746944',b'municipality_no',b'580',b'osak'
b'957746944',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957746944',b'street_no',b'0436',b'osak'
b'957746944',b'source',b'AWS Web API',b'osak'
b'957747032',b'city',b'Padborg',b'addr'
b'957747032',b'country',b'DK',b'addr'
b'957747032',b'housenumber',b'53',b'addr'
b'957747032',b'postcode',b'6330',b'addr'
b'957747032',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957747032',b'identifier',b'0A3F508B2D8832B8E0440003BA298018',b'osak'
b'957747032',b'municipality_no',b'580',b'osak'
b'957747032',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957747032',b'street_no',b'0436',b'osak'
b'957747032',b'source',b'AWS Web API',b'osak'
b'957747111',b'city',b'Padborg',b'addr'
b'957747111',b'country',b'DK',b'addr'
b'957747111',b'housenumber',b'63',b'addr'
b'957747111',b'postcode',b'6330',b'addr'
b'957747111',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957747111',b'identifier',b'0A3F508B2D9232B8E0440003BA298018',b'osak'
b'957747111',b'municipality_no',b'580',b'osak'
b'957747111',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957747111',b'street_no',b'0436',b'osak'
b'957747111',b'source',b'AWS Web API',b'osak'
b'957747188',b'city',b'Padborg',b'addr'
b'957747188',b'country',b'DK',b'addr'
b'957747188',b'housenumber',b'72A',b'addr'
b'957747188',b'postcode',b'6330',b'addr'
b'957747188',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957747188',b'identifier',b'0A3F508B2D9D32B8E0440003BA298018',b'osak'
b'957747188',b'municipality_no',b'580',b'osak'
b'957747188',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957747188',b'street_no',b'0436',b'osak'
b'957747188',b'subdivision',b'Fr\xc3\xb8slev',b'osak'
b'957747188',b'source',b'AWS Web API',b'osak'
b'957747269',b'city',b'Padborg',b'addr'
b'957747269',b'country',b'DK',b'addr'
b'957747269',b'housenumber',b'81A',b'addr'
b'957747269',b'postcode',b'6330',b'addr'
b'957747269',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957747269',b'identifier',b'0A3F508B2DA632B8E0440003BA298018',b'osak'
b'957747269',b'municipality_no',b'580',b'osak'
b'957747269',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957747269',b'street_no',b'0436',b'osak'
b'957747269',b'subdivision',b'Fr\xc3\xb8slev',b'osak'
b'957747269',b'source',b'AWS Web API',b'osak'
b'957747354',b'city',b'Padborg',b'addr'
b'957747354',b'country',b'DK',b'addr'
b'957747354',b'housenumber',b'87A',b'addr'
b'957747354',b'postcode',b'6330',b'addr'
b'957747354',b'street',b'Fr\xc3\xb8slevvej',b'addr'
b'957747354',b'identifier',b'0A3F508B2DB232B8E0440003BA298018',b'osak'
b'957747354',b'municipality_no',b'580',b'osak'
b'957747354',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957747354',b'street_no',b'0436',b'osak'
b'957747354',b'subdivision',b'Fr\xc3\xb8slev',b'osak'
b'957747354',b'source',b'AWS Web API',b'osak'
b'957748318',b'city',b'Padborg',b'addr'
b'957748318',b'country',b'DK',b'addr'
b'957748318',b'housenumber',b'2E',b'addr'
b'957748318',b'postcode',b'6330',b'addr'
b'957748318',b'street',b'Padborgvej',b'addr'
b'957748318',b'identifier',b'0A3F508B359732B8E0440003BA298018',b'osak'
b'957748318',b'municipality_no',b'580',b'osak'
b'957748318',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957748318',b'street_no',b'1297',b'osak'
b'957748318',b'subdivision',b'Bov',b'osak'
b'957748318',b'source',b'AWS Web API',b'osak'
b'957748341',b'city',b'Padborg',b'addr'
b'957748341',b'country',b'DK',b'addr'
b'957748341',b'housenumber',b'8C',b'addr'
b'957748341',b'postcode',b'6330',b'addr'
b'957748341',b'street',b'Padborgvej',b'addr'
b'957748341',b'identifier',b'0A3F508B35A132B8E0440003BA298018',b'osak'
b'957748341',b'municipality_no',b'580',b'osak'
b'957748341',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957748341',b'street_no',b'1297',b'osak'
b'957748341',b'subdivision',b'Bov',b'osak'
b'957748341',b'source',b'AWS Web API',b'osak'
b'957749049',b'city',b'Padborg',b'addr'
b'957749049',b'country',b'DK',b'addr'
b'957749049',b'housenumber',b'9',b'addr'
b'957749049',b'postcode',b'6330',b'addr'
b'957749049',b'street',b'Lejrvejen',b'addr'
b'957749049',b'identifier',b'0A3F508B331732B8E0440003BA298018',b'osak'
b'957749049',b'municipality_no',b'580',b'osak'
b'957749049',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957749049',b'street_no',b'0966',b'osak'
b'957749049',b'source',b'AWS Web API',b'osak'
b'957750873',b'city',b'Padborg',b'addr'
b'957750873',b'country',b'DK',b'addr'
b'957750873',b'housenumber',b'9',b'addr'
b'957750873',b'postcode',b'6330',b'addr'
b'957750873',b'street',b'N\xc3\xb8rregade',b'addr'
b'957750873',b'identifier',b'0A3F508B34E932B8E0440003BA298018',b'osak'
b'957750873',b'municipality_no',b'580',b'osak'
b'957750873',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957750873',b'street_no',b'1244',b'osak'
b'957750873',b'source',b'AWS Web API',b'osak'
b'957750920',b'city',b'Padborg',b'addr'
b'957750920',b'country',b'DK',b'addr'
b'957750920',b'housenumber',b'20',b'addr'
b'957750920',b'postcode',b'6330',b'addr'
b'957750920',b'street',b'N\xc3\xb8rregade',b'addr'
b'957750920',b'identifier',b'7096F61868585ED1E04400144F3EAD67',b'osak'
b'957750920',b'municipality_no',b'580',b'osak'
b'957750920',b'revision',b'2014-10-09T23:59:00',b'osak'
b'957750920',b'street_no',b'1244',b'osak'
b'957750920',b'source',b'AWS Web API',b'osak'
b'957750959',b'city',b'Padborg',b'addr'
b'957750959',b'country',b'DK',b'addr'
b'957750959',b'housenumber',b'29',b'addr'
b'957750959',b'postcode',b'6330',b'addr'
b'957750959',b'street',b'N\xc3\xb8rregade',b'addr'
b'957750959',b'identifier',b'0A3F508B34FD32B8E0440003BA298018',b'osak'
b'957750959',b'municipality_no',b'580',b'osak'
b'957750959',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957750959',b'street_no',b'1244',b'osak'
b'957750959',b'source',b'AWS Web API',b'osak'
b'957751003',b'city',b'Padborg',b'addr'
b'957751003',b'country',b'DK',b'addr'
b'957751003',b'housenumber',b'40',b'addr'
b'957751003',b'postcode',b'6330',b'addr'
b'957751003',b'street',b'N\xc3\xb8rregade',b'addr'
b'957751003',b'identifier',b'0A3F508B350732B8E0440003BA298018',b'osak'
b'957751003',b'municipality_no',b'580',b'osak'
b'957751003',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957751003',b'street_no',b'1244',b'osak'
b'957751003',b'source',b'AWS Web API',b'osak'
b'957751060',b'city',b'Padborg',b'addr'
b'957751060',b'country',b'DK',b'addr'
b'957751060',b'housenumber',b'56A',b'addr'
b'957751060',b'postcode',b'6330',b'addr'
b'957751060',b'street',b'N\xc3\xb8rregade',b'addr'
b'957751060',b'identifier',b'0A3F508B351232B8E0440003BA298018',b'osak'
b'957751060',b'municipality_no',b'580',b'osak'
b'957751060',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957751060',b'street_no',b'1244',b'osak'
b'957751060',b'source',b'AWS Web API',b'osak'
b'957751619',b'city',b'Padborg',b'addr'
b'957751619',b'country',b'DK',b'addr'
b'957751619',b'housenumber',b'5',b'addr'
b'957751619',b'postcode',b'6330',b'addr'
b'957751619',b'street',b'Pilevej',b'addr'
b'957751619',b'identifier',b'0A3F508B361832B8E0440003BA298018',b'osak'
b'957751619',b'municipality_no',b'580',b'osak'
b'957751619',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957751619',b'street_no',b'1318',b'osak'
b'957751619',b'source',b'AWS Web API',b'osak'
b'957751678',b'city',b'Padborg',b'addr'
b'957751678',b'country',b'DK',b'addr'
b'957751678',b'housenumber',b'15',b'addr'
b'957751678',b'postcode',b'6330',b'addr'
b'957751678',b'street',b'Pilevej',b'addr'
b'957751678',b'identifier',b'0A3F508B362232B8E0440003BA298018',b'osak'
b'957751678',b'municipality_no',b'580',b'osak'
b'957751678',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957751678',b'street_no',b'1318',b'osak'
b'957751678',b'source',b'AWS Web API',b'osak'
b'957751724',b'city',b'Padborg',b'addr'
b'957751724',b'country',b'DK',b'addr'
b'957751724',b'housenumber',b'25',b'addr'
b'957751724',b'postcode',b'6330',b'addr'
b'957751724',b'street',b'Pilevej',b'addr'
b'957751724',b'identifier',b'0A3F508B362C32B8E0440003BA298018',b'osak'
b'957751724',b'municipality_no',b'580',b'osak'
b'957751724',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957751724',b'street_no',b'1318',b'osak'
b'957751724',b'source',b'AWS Web API',b'osak'
b'957755373',b'city',b'Padborg',b'addr'
b'957755373',b'country',b'DK',b'addr'
b'957755373',b'housenumber',b'3',b'addr'
b'957755373',b'postcode',b'6330',b'addr'
b'957755373',b'street',b'Torvegade',b'addr'
b'957755373',b'identifier',b'0A3F508B3AE932B8E0440003BA298018',b'osak'
b'957755373',b'municipality_no',b'580',b'osak'
b'957755373',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755373',b'street_no',b'1906',b'osak'
b'957755373',b'source',b'AWS Web API',b'osak'
b'957755421',b'city',b'Padborg',b'addr'
b'957755421',b'country',b'DK',b'addr'
b'957755421',b'housenumber',b'8',b'addr'
b'957755421',b'postcode',b'6330',b'addr'
b'957755421',b'street',b'Vikingvej',b'addr'
b'957755421',b'identifier',b'0A3F508B3CB632B8E0440003BA298018',b'osak'
b'957755421',b'municipality_no',b'580',b'osak'
b'957755421',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755421',b'street_no',b'2172',b'osak'
b'957755421',b'source',b'AWS Web API',b'osak'
b'957755460',b'city',b'Padborg',b'addr'
b'957755460',b'country',b'DK',b'addr'
b'957755460',b'housenumber',b'11',b'addr'
b'957755460',b'postcode',b'6330',b'addr'
b'957755460',b'street',b'Torvegade',b'addr'
b'957755460',b'identifier',b'0A3F508B3AF132B8E0440003BA298018',b'osak'
b'957755460',b'municipality_no',b'580',b'osak'
b'957755460',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755460',b'street_no',b'1906',b'osak'
b'957755460',b'source',b'AWS Web API',b'osak'
b'957755524',b'city',b'Padborg',b'addr'
b'957755524',b'country',b'DK',b'addr'
b'957755524',b'housenumber',b'18',b'addr'
b'957755524',b'postcode',b'6330',b'addr'
b'957755524',b'street',b'Torvegade',b'addr'
b'957755524',b'identifier',b'0A3F508B3AF632B8E0440003BA298018',b'osak'
b'957755524',b'municipality_no',b'580',b'osak'
b'957755524',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755524',b'street_no',b'1906',b'osak'
b'957755524',b'source',b'AWS Web API',b'osak'
b'957755585',b'city',b'Padborg',b'addr'
b'957755585',b'country',b'DK',b'addr'
b'957755585',b'housenumber',b'25',b'addr'
b'957755585',b'postcode',b'6330',b'addr'
b'957755585',b'street',b'Torvegade',b'addr'
b'957755585',b'identifier',b'0A3F508B3AFC32B8E0440003BA298018',b'osak'
b'957755585',b'municipality_no',b'580',b'osak'
b'957755585',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755585',b'street_no',b'1906',b'osak'
b'957755585',b'source',b'AWS Web API',b'osak'
b'957755681',b'city',b'Padborg',b'addr'
b'957755681',b'country',b'DK',b'addr'
b'957755681',b'housenumber',b'8',b'addr'
b'957755681',b'postcode',b'6330',b'addr'
b'957755681',b'street',b'Fornbyvej',b'addr'
b'957755681',b'identifier',b'0A3F508B2CE832B8E0440003BA298018',b'osak'
b'957755681',b'municipality_no',b'580',b'osak'
b'957755681',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755681',b'street_no',b'0418',b'osak'
b'957755681',b'source',b'AWS Web API',b'osak'
b'957755707',b'city',b'Padborg',b'addr'
b'957755707',b'country',b'DK',b'addr'
b'957755707',b'housenumber',b'18',b'addr'
b'957755707',b'postcode',b'6330',b'addr'
b'957755707',b'street',b'Fornbyvej',b'addr'
b'957755707',b'identifier',b'0A3F508B2CF232B8E0440003BA298018',b'osak'
b'957755707',b'municipality_no',b'580',b'osak'
b'957755707',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755707',b'street_no',b'0418',b'osak'
b'957755707',b'source',b'AWS Web API',b'osak'
b'957755725',b'city',b'Padborg',b'addr'
b'957755725',b'country',b'DK',b'addr'
b'957755725',b'housenumber',b'28',b'addr'
b'957755725',b'postcode',b'6330',b'addr'
b'957755725',b'street',b'Fornbyvej',b'addr'
b'957755725',b'identifier',b'0A3F508B2CFC32B8E0440003BA298018',b'osak'
b'957755725',b'municipality_no',b'580',b'osak'
b'957755725',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755725',b'street_no',b'0418',b'osak'
b'957755725',b'source',b'AWS Web API',b'osak'
b'957755741',b'city',b'Padborg',b'addr'
b'957755741',b'country',b'DK',b'addr'
b'957755741',b'housenumber',b'38',b'addr'
b'957755741',b'postcode',b'6330',b'addr'
b'957755741',b'street',b'Fornbyvej',b'addr'
b'957755741',b'identifier',b'0A3F508B2D0632B8E0440003BA298018',b'osak'
b'957755741',b'municipality_no',b'580',b'osak'
b'957755741',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755741',b'street_no',b'0418',b'osak'
b'957755741',b'source',b'AWS Web API',b'osak'
b'957755770',b'city',b'Padborg',b'addr'
b'957755770',b'country',b'DK',b'addr'
b'957755770',b'housenumber',b'11',b'addr'
b'957755770',b'postcode',b'6330',b'addr'
b'957755770',b'street',b'Thorsvej',b'addr'
b'957755770',b'identifier',b'0A3F508B3A6532B8E0440003BA298018',b'osak'
b'957755770',b'municipality_no',b'580',b'osak'
b'957755770',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755770',b'street_no',b'1854',b'osak'
b'957755770',b'subdivision',b'Fr\xc3\xb8slev',b'osak'
b'957755770',b'source',b'AWS Web API',b'osak'
b'957755928',b'city',b'Padborg',b'addr'
b'957755928',b'country',b'DK',b'addr'
b'957755928',b'housenumber',b'3',b'addr'
b'957755928',b'postcode',b'6330',b'addr'
b'957755928',b'street',b'Elmev\xc3\xa6nget',b'addr'
b'957755928',b'identifier',b'0A3F508B2BAC32B8E0440003BA298018',b'osak'
b'957755928',b'municipality_no',b'580',b'osak'
b'957755928',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755928',b'street_no',b'0324',b'osak'
b'957755928',b'source',b'AWS Web API',b'osak'
b'957755957',b'city',b'Padborg',b'addr'
b'957755957',b'country',b'DK',b'addr'
b'957755957',b'housenumber',b'23',b'addr'
b'957755957',b'postcode',b'6330',b'addr'
b'957755957',b'street',b'Elmev\xc3\xa6nget',b'addr'
b'957755957',b'identifier',b'0A3F508B2BB632B8E0440003BA298018',b'osak'
b'957755957',b'municipality_no',b'580',b'osak'
b'957755957',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957755957',b'street_no',b'0324',b'osak'
b'957755957',b'source',b'AWS Web API',b'osak'
b'957756055',b'city',b'Padborg',b'addr'
b'957756055',b'country',b'DK',b'addr'
b'957756055',b'housenumber',b'1',b'addr'
b'957756055',b'postcode',b'6330',b'addr'
b'957756055',b'street',b'Jellingvej',b'addr'
b'957756055',b'identifier',b'0A3F508B30A332B8E0440003BA298018',b'osak'
b'957756055',b'municipality_no',b'580',b'osak'
b'957756055',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756055',b'street_no',b'0757',b'osak'
b'957756055',b'source',b'AWS Web API',b'osak'
b'957756074',b'city',b'Padborg',b'addr'
b'957756074',b'country',b'DK',b'addr'
b'957756074',b'housenumber',b'7',b'addr'
b'957756074',b'postcode',b'6330',b'addr'
b'957756074',b'street',b'Lindevej',b'addr'
b'957756074',b'identifier',b'0A3F508B334832B8E0440003BA298018',b'osak'
b'957756074',b'municipality_no',b'580',b'osak'
b'957756074',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756074',b'street_no',b'0996',b'osak'
b'957756074',b'source',b'AWS Web API',b'osak'
b'957756088',b'city',b'Padborg',b'addr'
b'957756088',b'country',b'DK',b'addr'
b'957756088',b'housenumber',b'12',b'addr'
b'957756088',b'postcode',b'6330',b'addr'
b'957756088',b'street',b'Lindevej',b'addr'
b'957756088',b'identifier',b'0A3F50B6532E32B8E0440003BA298018',b'osak'
b'957756088',b'municipality_no',b'0580',b'osak'
b'957756088',b'revision',b'2000-02-05T17:55:28.000',b'osak'
b'957756088',b'street_no',b'0996',b'osak'
b'957756088',b'source',b'Geodatastyrelsens Adresse Web Services (AWS)',b'osak'
b'957756100',b'city',b'Padborg',b'addr'
b'957756100',b'country',b'DK',b'addr'
b'957756100',b'housenumber',b'17',b'addr'
b'957756100',b'postcode',b'6330',b'addr'
b'957756100',b'street',b'Lindevej',b'addr'
b'957756100',b'identifier',b'0A3F508B335232B8E0440003BA298018',b'osak'
b'957756100',b'municipality_no',b'580',b'osak'
b'957756100',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756100',b'street_no',b'0996',b'osak'
b'957756100',b'source',b'AWS Web API',b'osak'
b'957756311',b'city',b'Padborg',b'addr'
b'957756311',b'country',b'DK',b'addr'
b'957756311',b'housenumber',b'5',b'addr'
b'957756311',b'postcode',b'6330',b'addr'
b'957756311',b'street',b'Kildevej',b'addr'
b'957756311',b'identifier',b'0A3F508B31CD32B8E0440003BA298018',b'osak'
b'957756311',b'municipality_no',b'580',b'osak'
b'957756311',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756311',b'street_no',b'0826',b'osak'
b'957756311',b'source',b'AWS Web API',b'osak'
b'957756356',b'city',b'Padborg',b'addr'
b'957756356',b'country',b'DK',b'addr'
b'957756356',b'housenumber',b'17',b'addr'
b'957756356',b'postcode',b'6330',b'addr'
b'957756356',b'street',b'Kildevej',b'addr'
b'957756356',b'identifier',b'0A3F508B31D832B8E0440003BA298018',b'osak'
b'957756356',b'municipality_no',b'580',b'osak'
b'957756356',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756356',b'street_no',b'0826',b'osak'
b'957756356',b'source',b'AWS Web API',b'osak'
b'957756464',b'city',b'Padborg',b'addr'
b'957756464',b'country',b'DK',b'addr'
b'957756464',b'housenumber',b'1',b'addr'
b'957756464',b'postcode',b'6330',b'addr'
b'957756464',b'street',b'Teglg\xc3\xa5rdsvej',b'addr'
b'957756464',b'identifier',b'0A3F508B3A4832B8E0440003BA298018',b'osak'
b'957756464',b'municipality_no',b'580',b'osak'
b'957756464',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756464',b'street_no',b'1844',b'osak'
b'957756464',b'source',b'AWS Web API',b'osak'
b'957756474',b'city',b'Padborg',b'addr'
b'957756474',b'country',b'DK',b'addr'
b'957756474',b'housenumber',b'11',b'addr'
b'957756474',b'postcode',b'6330',b'addr'
b'957756474',b'street',b'Teglg\xc3\xa5rdsvej',b'addr'
b'957756474',b'identifier',b'0A3F508B3A5232B8E0440003BA298018',b'osak'
b'957756474',b'municipality_no',b'580',b'osak'
b'957756474',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756474',b'street_no',b'1844',b'osak'
b'957756474',b'subdivision',b'Fr\xc3\xb8slev',b'osak'
b'957756474',b'source',b'AWS Web API',b'osak'
b'957756492',b'city',b'Padborg',b'addr'
b'957756492',b'country',b'DK',b'addr'
b'957756492',b'housenumber',b'21',b'addr'
b'957756492',b'postcode',b'6330',b'addr'
b'957756492',b'street',b'Teglg\xc3\xa5rdsvej',b'addr'
b'957756492',b'identifier',b'0A3F508B3A5C32B8E0440003BA298018',b'osak'
b'957756492',b'municipality_no',b'580',b'osak'
b'957756492',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756492',b'street_no',b'1844',b'osak'
b'957756492',b'subdivision',b'Fr\xc3\xb8slev',b'osak'
b'957756492',b'source',b'AWS Web API',b'osak'
b'957756585',b'city',b'Padborg',b'addr'
b'957756585',b'country',b'DK',b'addr'
b'957756585',b'housenumber',b'7',b'addr'
b'957756585',b'postcode',b'6330',b'addr'
b'957756585',b'street',b'Hasselhaven',b'addr'
b'957756585',b'identifier',b'0A3F508B2EC432B8E0440003BA298018',b'osak'
b'957756585',b'municipality_no',b'580',b'osak'
b'957756585',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756585',b'street_no',b'0566',b'osak'
b'957756585',b'source',b'AWS Web API',b'osak'
b'957756608',b'city',b'Padborg',b'addr'
b'957756608',b'country',b'DK',b'addr'
b'957756608',b'housenumber',b'17',b'addr'
b'957756608',b'postcode',b'6330',b'addr'
b'957756608',b'street',b'Hasselhaven',b'addr'
b'957756608',b'identifier',b'0A3F508B2ECE32B8E0440003BA298018',b'osak'
b'957756608',b'municipality_no',b'580',b'osak'
b'957756608',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756608',b'street_no',b'0566',b'osak'
b'957756608',b'source',b'AWS Web API',b'osak'
b'957756748',b'city',b'Padborg',b'addr'
b'957756748',b'country',b'DK',b'addr'
b'957756748',b'housenumber',b'2',b'addr'
b'957756748',b'postcode',b'6330',b'addr'
b'957756748',b'street',b'Ringgade',b'addr'
b'957756748',b'identifier',b'0A3F508B366532B8E0440003BA298018',b'osak'
b'957756748',b'municipality_no',b'580',b'osak'
b'957756748',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756748',b'street_no',b'1392',b'osak'
b'957756748',b'source',b'AWS Web API',b'osak'
b'957756760',b'city',b'Padborg',b'addr'
b'957756760',b'country',b'DK',b'addr'
b'957756760',b'housenumber',b'12',b'addr'
b'957756760',b'postcode',b'6330',b'addr'
b'957756760',b'street',b'Ringgade',b'addr'
b'957756760',b'identifier',b'0A3F508B366F32B8E0440003BA298018',b'osak'
b'957756760',b'municipality_no',b'580',b'osak'
b'957756760',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756760',b'street_no',b'1392',b'osak'
b'957756760',b'source',b'AWS Web API',b'osak'
b'957756777',b'city',b'Padborg',b'addr'
b'957756777',b'country',b'DK',b'addr'
b'957756777',b'housenumber',b'26',b'addr'
b'957756777',b'postcode',b'6330',b'addr'
b'957756777',b'street',b'Ringgade',b'addr'
b'957756777',b'identifier',b'0A3F508B367932B8E0440003BA298018',b'osak'
b'957756777',b'municipality_no',b'580',b'osak'
b'957756777',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756777',b'street_no',b'1392',b'osak'
b'957756777',b'source',b'AWS Web API',b'osak'
b'957756806',b'city',b'Padborg',b'addr'
b'957756806',b'country',b'DK',b'addr'
b'957756806',b'housenumber',b'37',b'addr'
b'957756806',b'postcode',b'6330',b'addr'
b'957756806',b'street',b'Ringgade',b'addr'
b'957756806',b'identifier',b'0A3F508B368332B8E0440003BA298018',b'osak'
b'957756806',b'municipality_no',b'580',b'osak'
b'957756806',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957756806',b'street_no',b'1392',b'osak'
b'957756806',b'source',b'AWS Web API',b'osak'
b'957757047',b'city',b'Padborg',b'addr'
b'957757047',b'country',b'DK',b'addr'
b'957757047',b'housenumber',b'1',b'addr'
b'957757047',b'postcode',b'6330',b'addr'
b'957757047',b'street',b'\xc3\x86blev\xc3\xa6nget',b'addr'
b'957757047',b'identifier',b'0A3F508B3D2232B8E0440003BA298018',b'osak'
b'957757047',b'municipality_no',b'580',b'osak'
b'957757047',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957757047',b'street_no',b'2220',b'osak'
b'957757047',b'source',b'AWS Web API',b'osak'
b'957757057',b'city',b'Padborg',b'addr'
b'957757057',b'country',b'DK',b'addr'
b'957757057',b'housenumber',b'11',b'addr'
b'957757057',b'postcode',b'6330',b'addr'
b'957757057',b'street',b'\xc3\x86blev\xc3\xa6nget',b'addr'
b'957757057',b'identifier',b'0A3F508B3D2C32B8E0440003BA298018',b'osak'
b'957757057',b'municipality_no',b'580',b'osak'
b'957757057',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957757057',b'street_no',b'2220',b'osak'
b'957757057',b'source',b'AWS Web API',b'osak'
b'957757077',b'city',b'Padborg',b'addr'
b'957757077',b'country',b'DK',b'addr'
b'957757077',b'housenumber',b'27',b'addr'
b'957757077',b'postcode',b'6330',b'addr'
b'957757077',b'street',b'\xc3\x86blev\xc3\xa6nget',b'addr'
b'957757077',b'identifier',b'0A3F508B3D3632B8E0440003BA298018',b'osak'
b'957757077',b'municipality_no',b'580',b'osak'
b'957757077',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957757077',b'street_no',b'2220',b'osak'
b'957757077',b'source',b'AWS Web API',b'osak'
b'957757158',b'city',b'Padborg',b'addr'
b'957757158',b'country',b'DK',b'addr'
b'957757158',b'housenumber',b'10',b'addr'
b'957757158',b'postcode',b'6330',b'addr'
b'957757158',b'street',b'Runesvinget',b'addr'
b'957757158',b'identifier',b'0A3F508B36AE32B8E0440003BA298018',b'osak'
b'957757158',b'municipality_no',b'580',b'osak'
b'957757158',b'revision',b'2009-11-06T11:59:00',b'osak'
b'957757158',b'street_no',b'1428',b'osak'
b'957757158',b'source',b'AWS Web API',b'osak'
b'957757178',b'city',b'Padborg',b'addr'
b'957757178',b'country',b'DK',b'addr'
b'957757178',b'housenumber',b'20',b'addr'
b'957757178',b'postcode',b'6330',b'addr'
b'957757178',b'street',b'Runesvinget',b'addr'
b'957757178',b'identifier',b'0A3F508B36B832B8E0440003BA298018',b'osak'
b'957757178',b'municipality_no',b'580',b'osak'
b'957757178',b'revision',b'2009-11-06T11:59:00',b'osak'
